birdnet,comment
Rubigula gularis,Flame-throated Bulbul
Rupicola peruvianus,Andean Cock-of-the-rock
Rupornis magnirostris,Roadside Hawk
Rynchops niger,Black Skimmer
Sakesphorus canadensis,Black-crested Antshrike
Salpinctes obsoletus,Rock Wren
Saltator atriceps,Black-headed Saltator
Saltator atripennis,Black-winged Saltator
Saltator aurantiirostris,Golden-billed Saltator
Saltator coerulescens,Blue-gray Saltator
Saltator grandis,Cinnamon-bellied Saltator
Saltator grossus,Slate-colored Grosbeak
Saltator maximus,Buff-throated Saltator
Saltator olivascens,Olivaceous Saltator
Saltator similis,Green-winged Saltator
Saltator striatipectus,Streaked Saltator
Saxicola caprata,Pied Bushchat
Saxicola ferreus,Gray Bushchat
Saxicola rubetra,Whinchat
Saxicola rubicola,European Stonechat
Saxicola torquatus,African Stonechat
Sayornis nigricans,Black Phoebe
Sayornis phoebe,Eastern Phoebe
Sayornis saya,Say's Phoebe
Scaphiopus couchii,Couch's Spadefoot
Scelorchilus rubecula,Chucao Tapaculo
Schiffornis veraepacis,Northern Schiffornis
Schiffornis virescens,Greenish Schiffornis
Schoeniophylax phryganophilus,Chotoy Spinetail
Schoeniparus brunneus,Dusky Fulvetta
Sciaphylax hemimelaena,Chestnut-tailed Antbird
Sciurus carolinensis,Eastern Gray Squirrel
Sclateria naevia,Silvered Antbird
Scolopax minor,American Woodcock
Scolopax rusticola,Eurasian Woodcock
Scudderia curvicauda,Curve-tailed Bush Katydid
Scudderia furcata,Fork-tailed Bush Katydid
Scudderia texensis,Texas Bush Katydid
Scytalopus argentifrons,Silvery-fronted Tapaculo
Scytalopus fuscus,Dusky Tapaculo
Scytalopus latrans,Blackish Tapaculo
Scytalopus magellanicus,Magellanic Tapaculo
Scytalopus spillmanni,Spillmann's Tapaculo
Scytalopus vicinior,Nariño Tapaculo
Scythrops novaehollandiae,Channel-billed Cuckoo
Seiurus aurocapilla,Ovenbird
Selasphorus calliope,Calliope Hummingbird
Selasphorus platycercus,Broad-tailed Hummingbird
Selasphorus rufus,Rufous Hummingbird
Selasphorus sasin,Allen's Hummingbird
Semnornis ramphastinus,Toucan Barbet
Sephanoides sephaniodes,Green-backed Firecrown
Sericornis frontalis,White-browed Scrubwren
Sericornis humilis,Tasmanian Scrubwren
Serinus canaria,Island Canary
Serinus serinus,European Serin
Serpophaga griseicapilla,Straneck's Tyrannulet
Serpophaga subcristata,White-crested Tyrannulet
Setophaga americana,Northern Parula
Setophaga caerulescens,Black-throated Blue Warbler
Setophaga castanea,Bay-breasted Warbler
Setophaga cerulea,Cerulean Warbler
Setophaga chrysoparia,Golden-cheeked Warbler
Setophaga citrina,Hooded Warbler
Setophaga coronata,Yellow-rumped Warbler
Setophaga discolor,Prairie Warbler
Setophaga dominica,Yellow-throated Warbler
Setophaga fusca,Blackburnian Warbler
Setophaga graciae,Grace's Warbler
Setophaga kirtlandii,Kirtland's Warbler
Setophaga magnolia,Magnolia Warbler
Setophaga nigrescens,Black-throated Gray Warbler
Setophaga occidentalis,Hermit Warbler
Setophaga palmarum,Palm Warbler
Setophaga pensylvanica,Chestnut-sided Warbler
Setophaga petechia,Yellow Warbler
Setophaga pinus,Pine Warbler
Setophaga pitiayumi,Tropical Parula
Setophaga ruticilla,American Redstart
Setophaga striata,Blackpoll Warbler
Setophaga tigrina,Cape May Warbler
Setophaga townsendi,Townsend's Warbler
Setophaga virens,Black-throated Green Warbler
Sialia currucoides,Mountain Bluebird
Sialia mexicana,Western Bluebird
Sialia sialis,Eastern Bluebird
Sicalis flaveola,Saffron Finch
Sicalis luteola,Grassland Yellow-Finch
Sicalis olivascens,Greenish Yellow-Finch
Sinosuthora webbiana,Vinous-throated Parrotbill
Siren,Siren
Sirystes sibilator,Sibilant Sirystes
Sitta canadensis,Red-breasted Nuthatch
Sitta carolinensis,White-breasted Nuthatch
Sitta europaea,Eurasian Nuthatch
Sitta frontalis,Velvet-fronted Nuthatch
Sitta himalayensis,White-tailed Nuthatch
Sitta pusilla,Brown-headed Nuthatch
Sitta pygmaea,Pygmy Nuthatch
Sittasomus griseicapillus,Olivaceous Woodcreeper
Sittiparus varius,Varied Tit
Smicrornis brevirostris,Weebill
Somateria mollissima,Common Eider
Spatula clypeata,Northern Shoveler
Spatula cyanoptera,Cinnamon Teal
Spatula discors,Blue-winged Teal
Spatula querquedula,Garganey
Spea bombifrons,Plains Spadefoot
Sphecotheres vieilloti,Australasian Figbird
Sphyrapicus nuchalis,Red-naped Sapsucker
Sphyrapicus ruber,Red-breasted Sapsucker
Sphyrapicus thyroideus,Williamson's Sapsucker
Sphyrapicus varius,Yellow-bellied Sapsucker
Spilornis cheela,Crested Serpent-Eagle
Spinus barbatus,Black-chinned Siskin
Spinus lawrencei,Lawrence's Goldfinch
Spinus magellanicus,Hooded Siskin
Spinus pinus,Pine Siskin
Spinus psaltria,Lesser Goldfinch
Spinus spinus,Eurasian Siskin
Spinus tristis,American Goldfinch
Spinus xanthogastrus,Yellow-bellied Siskin
Spiza americana,Dickcissel
Spizaetus ornatus,Ornate Hawk-Eagle
Spizaetus tyrannus,Black Hawk-Eagle
Spizella atrogularis,Black-chinned Sparrow
Spizella breweri,Brewer's Sparrow
Spizella pallida,Clay-colored Sparrow
Spizella passerina,Chipping Sparrow
Spizella pusilla,Field Sparrow
Spizelloides arborea,American Tree Sparrow
Sporophila angolensis,Chestnut-bellied Seed-Finch
Sporophila caerulescens,Double-collared Seedeater
Sporophila corvina,Variable Seedeater
Sporophila funerea,Thick-billed Seed-Finch
Sporophila lineola,Lined Seedeater
Sporophila luctuosa,Black-and-white Seedeater
Sporophila minuta,Ruddy-breasted Seedeater
Sporophila morelleti,Morelet's Seedeater
Sporophila nigricollis,Yellow-bellied Seedeater
Sporophila torqueola,Cinnamon-rumped Seedeater
Stachyris nigriceps,Gray-throated Babbler
Stelgidopteryx ruficollis,Southern Rough-winged Swallow
Stelgidopteryx serripennis,Northern Rough-winged Swallow
Stephanophorus diadematus,Diademed Tanager
Stercorarius longicaudus,Long-tailed Jaeger
Stercorarius maccormicki,South Polar Skua
Stercorarius parasiticus,Parasitic Jaeger
Stercorarius pomarinus,Pomarine Jaeger
Sterna aurantia,River Tern
Sterna dougallii,Roseate Tern
Sterna forsteri,Forster's Tern
Sterna hirundo,Common Tern
Sterna paradisaea,Arctic Tern
Sternula albifrons,Little Tern
Sternula antillarum,Least Tern
Stigmatura budytoides,Greater Wagtail-Tyrant
Stilpnia cayana,Burnished-buff Tanager
Stilpnia larvata,Golden-hooded Tanager
Strepera graculina,Pied Currawong
Strepera versicolor,Gray Currawong
Streptopelia capicola,Ring-necked Dove
Streptopelia chinensis,Spotted Dove
Streptopelia decaocto,Eurasian Collared-Dove
Streptopelia decipiens,Mourning Collared-Dove
Streptopelia orientalis,Oriental Turtle-Dove
Streptopelia semitorquata,Red-eyed Dove
Streptopelia senegalensis,Laughing Dove
Streptopelia turtur,European Turtle-Dove
Streptopelia vinacea,Vinaceous Dove
Streptoprocne zonaris,White-collared Swift
Strix aluco,Tawny Owl
Strix nebulosa,Great Gray Owl
Strix occidentalis,Spotted Owl
Strix varia,Barred Owl
Sturnella magna,Eastern Meadowlark
Sturnella neglecta,Western Meadowlark
Sturnia malabarica,Chestnut-tailed Starling
Sturnia pagodarum,Brahminy Starling
Sturnus unicolor,Spotless Starling
Sturnus vulgaris,European Starling
Suiriri suiriri,Suiriri Flycatcher
Sula dactylatra,Masked Booby
Sula leucogaster,Brown Booby
Sula sula,Red-footed Booby
Surnia ulula,Northern Hawk Owl
Surniculus lugubris,Square-tailed Drongo-Cuckoo
Sylvia atricapilla,Eurasian Blackcap
Sylvia borin,Garden Warbler
Sylvietta rufescens,Cape Crombec
Sylvietta whytii,Red-faced Crombec
Sylviorthorhynchus desmursii,Des Murs's Wiretail
Symposiachrus trivirgatus,Spectacled Monarch
Synallaxis albescens,Pale-breasted Spinetail
Synallaxis azarae,Azara's Spinetail
Synallaxis brachyura,Slaty Spinetail
Synallaxis erythrothorax,Rufous-breasted Spinetail
Synallaxis frontalis,Sooty-fronted Spinetail
Synallaxis gujanensis,Plain-crowned Spinetail
Synallaxis ruficapilla,Rufous-capped Spinetail
Synallaxis spixi,Spix's Spinetail
Synallaxis unirufa,Rufous Spinetail
Syndactyla rufosuperciliata,Buff-browed Foliage-gleaner
Syndactyla subalaris,Lineated Foliage-gleaner
Synoicus ypsilophorus,Brown Quail
Syrigma sibilatrix,Whistling Heron
Systellura longirostris,Band-winged Nightjar
Tachuris rubrigastra,Many-colored Rush Tyrant
Tachybaptus dominicus,Least Grebe
Tachybaptus ruficollis,Little Grebe
Tachycineta bicolor,Tree Swallow
Tachycineta thalassina,Violet-green Swallow
Tachyphonus coronatus,Ruby-crowned Tanager
Tachyphonus delatrii,Tawny-crested Tanager
Tachyphonus rufus,White-lined Tanager
Tadorna ferruginea,Ruddy Shelduck
Tadorna tadorna,Common Shelduck
Taenioptynx brodiei,Collared Owlet
Tamias striatus,Eastern Chipmunk
Tamiasciurus hudsonicus,Red Squirrel
Tangara arthus,Golden Tanager
Tangara chilensis,Paradise Tanager
Tangara gyrola,Bay-headed Tanager
Tapera naevia,Striped Cuckoo
Taraba major,Great Antshrike
Tarphonomus certhioides,Chaco Earthcreeper
Tarsiger cyanurus,Red-flanked Bluetail
Tchagra australis,Brown-crowned Tchagra
Tchagra senegalus,Black-crowned Tchagra
Telophorus sulfureopectus,Sulphur-breasted Bushshrike
Telophorus zeylonus,Bokmakierie
Tephrodornis pondicerianus,Common Woodshrike
Terenotriccus erythrurus,Ruddy-tailed Flycatcher
Terenura maculata,Streak-capped Antwren
Terpsiphone paradisi,Indian Paradise-Flycatcher
Terpsiphone viridis,African Paradise-Flycatcher
Tersina viridis,Swallow Tanager
Thalasseus bergii,Great Crested Tern
Thalasseus elegans,Elegant Tern
Thalasseus maximus,Royal Tern
Thalasseus sandvicensis,Sandwich Tern
Thalurania glaucopis,Violet-capped Woodnymph
Thamnistes anabatinus,Russet Antshrike
Thamnomanes ardesiacus,Dusky-throated Antshrike
Thamnomanes caesius,Cinereous Antshrike
Thamnophilus atrinucha,Black-crowned Antshrike
Thamnophilus bridgesi,Black-hooded Antshrike
Thamnophilus caerulescens,Variable Antshrike
Thamnophilus doliatus,Barred Antshrike
Thamnophilus multistriatus,Bar-crested Antshrike
Thamnophilus murinus,Mouse-colored Antshrike
Thamnophilus palliatus,Chestnut-backed Antshrike
Thamnophilus ruficapillus,Rufous-capped Antshrike
Thamnophilus schistaceus,Plain-winged Antshrike
Thectocercus acuticaudatus,Blue-crowned Parakeet
Theristicus caerulescens,Plumbeous Ibis
Theristicus caudatus,Buff-necked Ibis
Theristicus melanopis,Black-faced Ibis
Thlypopsis sordida,Orange-headed Tanager
Thlypopsis superciliaris,Superciliaried Hemispingus
Thraupis abbas,Yellow-winged Tanager
Thraupis episcopus,Blue-gray Tanager
Thraupis palmarum,Palm Tanager
Thraupis sayaca,Sayaca Tanager
Thryomanes bewickii,Bewick's Wren
Thryophilus pleurostictus,Banded Wren
Thryophilus rufalbus,Rufous-and-white Wren
Thryophilus sinaloa,Sinaloa Wren
Thryothorus ludovicianus,Carolina Wren
Tiaris olivaceus,Yellow-faced Grassquit
Tigrisoma lineatum,Rufescent Tiger-Heron
Tinamus major,Great Tinamou
Tityra cayana,Black-tailed Tityra
Tityra semifasciata,Masked Tityra
Todiramphus chloris,Collared Kingfisher
Todiramphus sanctus,Sacred Kingfisher
Todirostrum chrysocrotaphum,Yellow-browed Tody-Flycatcher
Todirostrum cinereum,Common Tody-Flycatcher
Todirostrum maculatum,Spotted Tody-Flycatcher
Todirostrum poliocephalum,Gray-headed Tody-Flycatcher
Tolmomyias assimilis,Yellow-margined Flycatcher
Tolmomyias flaviventris,Yellow-breasted Flycatcher
Tolmomyias poliocephalus,Gray-crowned Flycatcher
Tolmomyias sulphurescens,Yellow-olive Flycatcher
Toxostoma bendirei,Bendire's Thrasher
Toxostoma crissale,Crissal Thrasher
Toxostoma curvirostre,Curve-billed Thrasher
Toxostoma lecontei,LeConte's Thrasher
Toxostoma longirostre,Long-billed Thrasher
Toxostoma redivivum,California Thrasher
Toxostoma rufum,Brown Thrasher
Trachyphonus darnaudii,D'Arnaud's Barbet
Trachyphonus vaillantii,Crested Barbet
Trichoglossus moluccanus,Rainbow Lorikeet
Trichothraupis melanops,Black-goggled Tanager
Tringa brevipes,Gray-tailed Tattler
Tringa erythropus,Spotted Redshank
Tringa flavipes,Lesser Yellowlegs
Tringa glareola,Wood Sandpiper
Tringa incana,Wandering Tattler
Tringa melanoleuca,Greater Yellowlegs
Tringa nebularia,Common Greenshank
Tringa ochropus,Green Sandpiper
Tringa semipalmata,Willet
Tringa solitaria,Solitary Sandpiper
Tringa stagnatilis,Marsh Sandpiper
Tringa totanus,Common Redshank
Trochalopteron erythrocephalum,Chestnut-crowned Laughingthrush
Trochalopteron lineatum,Streaked Laughingthrush
Trochalopteron morrisonianum,White-whiskered Laughingthrush
Troglodytes aedon,House Wren
Troglodytes hiemalis,Winter Wren
Troglodytes ochraceus,Ochraceous Wren
Troglodytes pacificus,Pacific Wren
Troglodytes rufociliatus,Rufous-browed Wren
Troglodytes solstitialis,Mountain Wren
Troglodytes troglodytes,Eurasian Wren
Trogon caligatus,Gartered Trogon
Trogon chionurus,White-tailed Trogon
Trogon collaris,Collared Trogon
Trogon curucui,Blue-crowned Trogon
Trogon elegans,Elegant Trogon
Trogon massena,Slaty-tailed Trogon
Trogon melanocephalus,Black-headed Trogon
Trogon melanurus,Black-tailed Trogon
Trogon mexicanus,Mountain Trogon
Trogon personatus,Masked Trogon
Trogon ramonianus,Amazonian Trogon
Trogon rufus,Black-throated Trogon
Trogon surrucura,Surucua Trogon
Trogon viridis,Green-backed Trogon
Tunchiornis ochraceiceps,Tawny-crowned Greenlet
Turdoides jardineii,Arrow-marked Babbler
Turdus albicollis,White-necked Thrush
Turdus amaurochalinus,Creamy-bellied Thrush
Turdus assimilis,White-throated Thrush
Turdus chiguanco,Chiguanco Thrush
Turdus eunomus,Dusky Thrush
Turdus falcklandii,Austral Thrush
Turdus flavipes,Yellow-legged Thrush
Turdus fumigatus,Cocoa Thrush
Turdus fuscater,Great Thrush
Turdus grayi,Clay-colored Thrush
Turdus hortulorum,Gray-backed Thrush
Turdus ignobilis,Black-billed Thrush
Turdus iliacus,Redwing
Turdus leucomelas,Pale-breasted Thrush
Turdus libonyana,Kurrichane Thrush
Turdus merula,Eurasian Blackbird
Turdus migratorius,American Robin
Turdus nudigenis,Spectacled Thrush
Turdus obscurus,Eyebrowed Thrush
Turdus pallidus,Pale Thrush
Turdus pelios,African Thrush
Turdus philomelos,Song Thrush
Turdus pilaris,Fieldfare
Turdus plebejus,Mountain Thrush
Turdus plumbeus,Red-legged Thrush
Turdus rufiventris,Rufous-bellied Thrush
Turdus rufopalliatus,Rufous-backed Robin
Turdus serranus,Glossy-black Thrush
Turdus simillimus,Indian Blackbird
Turdus torquatus,Ring Ouzel
Turdus viscivorus,Mistle Thrush
Turtur chalcospilos,Emerald-spotted Wood-Dove
Turtur tympanistria,Tambourine Dove
Tympanuchus cupido,Greater Prairie-Chicken
Tympanuchus phasianellus,Sharp-tailed Grouse
Tyranneutes stolzmanni,Dwarf Tyrant-Manakin
Tyrannulus elatus,Yellow-crowned Tyrannulet
Tyrannus couchii,Couch's Kingbird
Tyrannus crassirostris,Thick-billed Kingbird
Tyrannus dominicensis,Gray Kingbird
Tyrannus forficatus,Scissor-tailed Flycatcher
Tyrannus melancholicus,Tropical Kingbird
Tyrannus savana,Fork-tailed Flycatcher
Tyrannus tyrannus,Eastern Kingbird
Tyrannus verticalis,Western Kingbird
Tyrannus vociferans,Cassin's Kingbird
Tyto alba,Barn Owl
Upucerthia dumetaria,Scale-throated Earthcreeper
Upupa epops,Eurasian Hoopoe
Uraeginthus bengalus,Red-cheeked Cordonbleu
Uria aalge,Common Murre
Urocissa erythroryncha,Red-billed Blue-Magpie
Uropsila leucogastra,White-bellied Wren
Urosphena squameiceps,Asian Stubtail
Vanellus armatus,Blacksmith Lapwing
Vanellus chilensis,Southern Lapwing
Vanellus coronatus,Crowned Lapwing
Vanellus indicus,Red-wattled Lapwing
Vanellus malabaricus,Yellow-wattled Lapwing
Vanellus miles,Masked Lapwing
Vanellus resplendens,Andean Lapwing
Vanellus spinosus,Spur-winged Lapwing
Vanellus vanellus,Northern Lapwing
Vermivora chrysoptera,Golden-winged Warbler
Vermivora cyanoptera,Blue-winged Warbler
Vidua macroura,Pin-tailed Whydah
Vireo altiloquus,Black-whiskered Vireo
Vireo atricapilla,Black-capped Vireo
Vireo bellii,Bell's Vireo
Vireo cassinii,Cassin's Vireo
Vireo chivi,Chivi Vireo
Vireo crassirostris,Thick-billed Vireo
Vireo flavifrons,Yellow-throated Vireo
Vireo flavoviridis,Yellow-green Vireo
Vireo gilvus,Warbling Vireo
Vireo griseus,White-eyed Vireo
Vireo gundlachii,Cuban Vireo
Vireo huttoni,Hutton's Vireo
Vireo hypochryseus,Golden Vireo
Vireo leucophrys,Brown-capped Vireo
Vireo olivaceus,Red-eyed Vireo
Vireo pallens,Mangrove Vireo
Vireo philadelphicus,Philadelphia Vireo
Vireo plumbeus,Plumbeous Vireo
Vireo solitarius,Blue-headed Vireo
Vireo vicinior,Gray Vireo
Vireolanius leucotis,Slaty-capped Shrike-Vireo
Vireolanius pulchellus,Green Shrike-Vireo
Volatinia jacarina,Blue-black Grassquit
Xanthocephalus xanthocephalus,Yellow-headed Blackbird
Xenops minutus,Plain Xenops
Xenops rutilans,Streaked Xenops
Xenus cinereus,Terek Sandpiper
Xiphocolaptes promeropirhynchus,Strong-billed Woodcreeper
Xiphorhynchus erythropygius,Spotted Woodcreeper
Xiphorhynchus flavigaster,Ivory-billed Woodcreeper
Xiphorhynchus fuscus,Lesser Woodcreeper
Xiphorhynchus guttatus,Buff-throated Woodcreeper
Xiphorhynchus lachrymosus,Black-striped Woodcreeper
Xiphorhynchus susurrans,Cocoa Woodcreeper
Yuhina flavicollis,Whiskered Yuhina
Yuhina gularis,Stripe-throated Yuhina
Zapornia flavirostra,Black Crake
Zapornia fusca,Ruddy-breasted Crake
Zapornia parva,Little Crake
Zapornia pusilla,Baillon's Crake
Zapornia tabuensis,Spotless Crake
Zenaida asiatica,White-winged Dove
Zenaida auriculata,Eared Dove
Zenaida macroura,Mourning Dove
Zenaida meloda,West Peruvian Dove
Zentrygon frenata,White-throated Quail-Dove
Zimmerius chrysops,Golden-faced Tyrannulet
Zimmerius parvus,Mistletoe Tyrannulet
Zonotrichia albicollis,White-throated Sparrow
Zonotrichia atricapilla,Golden-crowned Sparrow
Zonotrichia capensis,Rufous-collared Sparrow
Zonotrichia leucophrys,White-crowned Sparrow
Zonotrichia querula,Harris's Sparrow
Zoothera aurea,White's Thrush
Zosterops japonicus,Warbling White-eye
Zosterops lateralis,Silvereye
Zosterops palpebrosus,Indian White-eye
Zosterops simplex,Swinhoe's White-eye
Zosterops virens,Cape White-eye
