ioc_12_2,comment
apalis argentea,Kungwe Apalis
apalis karamojae,Karamoja Apalis
apalis bamendae,Bamenda Apalis
apalis goslingi,Gosling's Apalis
apalis cinerea,Grey Apalis
apalis alticola,Brown-headed Apalis
malcorus pectoralis,Rufous-eared Warbler
hypergerus atriceps,Oriole Warbler
eminia lepida,Grey-capped Warbler
camaroptera brachyura,Green-backed Camaroptera
camaroptera brevicaudata,Grey-backed Camaroptera
camaroptera harterti,Hartert's Camaroptera
camaroptera superciliaris,Yellow-browed Camaroptera
camaroptera chloronota,Olive-green Camaroptera
calamonastes simplex,Grey Wren-Warbler
calamonastes undosus,Miombo Wren-Warbler
calamonastes stierlingi,Stierling's Wren-Warbler
calamonastes fasciolatus,Barred Wren-Warbler
euryptila subcinnamomea,Cinnamon-breasted Warbler
bathmocercus cerviniventris,Black-headed Rufous Warbler
bathmocercus rufus,Black-faced Rufous Warbler
scepomycter winifredae,Winifred's Warbler
scepomycter rubehoensis,Rubeho Warbler
orthotomus sutorius,Common Tailorbird
orthotomus atrogularis,Dark-necked Tailorbird
orthotomus chaktomuk,Cambodian Tailorbird
orthotomus castaneiceps,Philippine Tailorbird
orthotomus chloronotus,Trilling Tailorbird
orthotomus frontalis,Rufous-fronted Tailorbird
orthotomus derbianus,Grey-backed Tailorbird
orthotomus sericeus,Rufous-tailed Tailorbird
orthotomus ruficeps,Ashy Tailorbird
orthotomus sepium,Olive-backed Tailorbird
orthotomus cinereiceps,White-eared Tailorbird
orthotomus nigriceps,Black-headed Tailorbird
orthotomus samarensis,Yellow-breasted Tailorbird
artisornis moreaui,Long-billed Forest Warbler
artisornis metopias,Red-capped Forest Warbler
poliolais lopezi,White-tailed Warbler
eremomela icteropygialis,Yellow-bellied Eremomela
eremomela salvadorii,Salvadori's Eremomela
eremomela flavicrissalis,Yellow-vented Eremomela
eremomela pusilla,Senegal Eremomela
eremomela canescens,Green-backed Eremomela
eremomela scotops,Green-capped Eremomela
eremomela gregalis,Karoo Eremomela
eremomela usticollis,Burnt-necked Eremomela
eremomela badiceps,Rufous-crowned Eremomela
eremomela turneri,Turner's Eremomela
eremomela atricollis,Black-necked Eremomela
sylvia atricapilla,Eurasian Blackcap
sylvia borin,Garden Warbler
sylvia dohrni,Dohrn's Warbler
sylvia galinieri,Abyssinian Catbird
sylvia nigricapillus,Bush Blackcap
sylvia abyssinica,African Hill Babbler
sylvia atriceps,Rwenzori Hill Babbler
curruca nisoria,Barred Warbler
curruca layardi,Layard's Warbler
curruca boehmi,Banded Parisoma
curruca subcoerulea,Chestnut-vented Warbler
curruca minula,Desert Whitethroat
curruca curruca,Lesser Whitethroat
curruca althaea,Hume's Whitethroat
curruca lugens,Brown Parisoma
curruca buryi,Yemen Warbler
curruca leucomelaena,Arabian Warbler
curruca hortensis,Western Orphean Warbler
curruca crassirostris,Eastern Orphean Warbler
curruca deserti,African Desert Warbler
curruca nana,Asian Desert Warbler
curruca deserticola,Tristram's Warbler
curruca mystacea,Menetries's Warbler
curruca ruppeli,Rüppell's Warbler
curruca melanothorax,Cyprus Warbler
curruca melanocephala,Sardinian Warbler
curruca iberiae,Western Subalpine Warbler
curruca subalpina,Moltoni's Warbler
curruca cantillans,Eastern Subalpine Warbler
curruca communis,Common Whitethroat
curruca conspicillata,Spectacled Warbler
curruca sarda,Marmora's Warbler
curruca undata,Dartford Warbler
curruca balearica,Balearic Warbler
myzornis pyrrhoura,Fire-tailed Myzornis
moupinia poecilotis,Rufous-tailed Babbler
lioparus chrysotis,Golden-breasted Fulvetta
chrysomma sinense,Yellow-eyed Babbler
chrysomma altirostre,Jerdon's Babbler
rhopophilus albosuperciliaris,Tarim Babbler
rhopophilus pekinensis,Beijing Babbler
fulvetta ruficapilla,Spectacled Fulvetta
fulvetta danisi,Indochinese Fulvetta
fulvetta striaticollis,Chinese Fulvetta
fulvetta vinipectus,White-browed Fulvetta
fulvetta ludlowi,Brown-throated Fulvetta
fulvetta manipurensis,Manipur Fulvetta
fulvetta cinereiceps,Grey-hooded Fulvetta
fulvetta formosana,Taiwan Fulvetta
chamaea fasciata,Wrentit
calamornis heudei,Reed Parrotbill
paradoxornis flavirostris,Black-breasted Parrotbill
paradoxornis guttaticollis,Spot-breasted Parrotbill
conostoma aemodium,Great Parrotbill
cholornis unicolor,Brown Parrotbill
cholornis paradoxus,Three-toed Parrotbill
psittiparus gularis,Grey-headed Parrotbill
psittiparus margaritae,Black-headed Parrotbill
psittiparus ruficeps,White-breasted Parrotbill
psittiparus bakeri,Rufous-headed Parrotbill
neosuthora davidiana,Short-tailed Parrotbill
suthora fulvifrons,Fulvous Parrotbill
suthora nipalensis,Black-throated Parrotbill
suthora verreauxi,Golden Parrotbill
chleuasicus atrosuperciliaris,Pale-billed Parrotbill
sinosuthora conspicillata,Spectacled Parrotbill
sinosuthora zappeyi,Grey-hooded Parrotbill
sinosuthora brunnea,Brown-winged Parrotbill
sinosuthora webbiana,Vinous-throated Parrotbill
sinosuthora alphonsiana,Ashy-throated Parrotbill
sinosuthora przewalskii,Przevalski's Parrotbill
parayuhina diademata,White-collared Yuhina
staphida everetti,Chestnut-crested Yuhina
staphida castaniceps,Striated Yuhina
staphida torqueola,Indochinese Yuhina
yuhina nigrimenta,Black-chinned Yuhina
yuhina brunneiceps,Taiwan Yuhina
yuhina flavicollis,Whiskered Yuhina
yuhina humilis,Burmese Yuhina
yuhina bakeri,White-naped Yuhina
yuhina gularis,Stripe-throated Yuhina
yuhina occipitalis,Rufous-vented Yuhina
dasycrotapha speciosa,Flame-templed Babbler
dasycrotapha pygmaea,Visayan Pygmy Babbler
dasycrotapha plateni,Mindanao Pygmy Babbler
sterrhoptilus capitalis,Rusty-crowned Babbler
sterrhoptilus dennistouni,Golden-crowned Babbler
sterrhoptilus affinis,Calabarzon Babbler
sterrhoptilus nigrocapitatus,Visayan Babbler
zosterornis hypogrammicus,Palawan Striped Babbler
zosterornis striatus,Luzon Striped Babbler
zosterornis whiteheadi,Chestnut-faced Babbler
zosterornis latistriatus,Panay Striped Babbler
zosterornis nigrorum,Negros Striped Babbler
cleptornis marchei,Golden White-eye
rukia ruki,Teardrop White-eye
rukia longirostra,Long-billed White-eye
megazosterops palauensis,Giant White-eye
heleia javanica,Mees's White-eye
heleia pinaiae,Grey-hooded White-eye
heleia squamifrons,Pygmy White-eye
heleia goodfellowi,Mindanao White-eye
heleia squamiceps,Streak-headed White-eye
heleia superciliaris,Cream-browed White-eye
heleia dohertyi,Crested White-eye
heleia muelleri,Spot-breasted Heleia
heleia crassirostris,Thick-billed Heleia
heleia wallacei,Yellow-ringed White-eye
apalopteron familiare,Bonin White-eye
tephrozosterops stalkeri,Rufescent Darkeye
zosterops ceylonensis,Sri Lanka White-eye
zosterops nigrorum,Yellowish White-eye
zosterops atricapilla,Black-capped White-eye
zosterops abyssinicus,Abyssinian White-eye
zosterops flavilateralis,Pale White-eye
zosterops mbuluensis,Mbulu White-eye
zosterops erythropleurus,Chestnut-flanked White-eye
zosterops simplex,Swinhoe's White-eye
zosterops emiliae,Mountain Blackeye
zosterops japonicus,Warbling White-eye
zosterops palpebrosus,Indian White-eye
zosterops meyeni,Lowland White-eye
zosterops semiflavus,Marianne White-eye
zosterops mouroniensis,Karthala White-eye
zosterops olivaceus,Reunion Olive White-eye
zosterops chloronothos,Mauritius Olive White-eye
zosterops borbonicus,Reunion Grey White-eye
zosterops mauritianus,Mauritius Grey White-eye
zosterops melanocephalus,Mount Cameroon Speirops
zosterops stenocricotus,Forest White-eye
zosterops stuhlmanni,Green White-eye
zosterops eurycricotus,Broad-ringed White-eye
zosterops brunneus,Fernando Po Speirops
zosterops poliogastrus,Heuglin's White-eye
zosterops kikuyuensis,Kikuyu White-eye
zosterops socotranus,Socotra White-eye
zosterops ficedulinus,Principe White-eye
zosterops griseovirescens,Annobon White-eye
zosterops feae,Sao Tome White-eye
zosterops lugubris,Black-capped Speirops
zosterops leucophaeus,Principe Speirops
zosterops silvanus,Taita White-eye
zosterops senegalensis,Northern Yellow White-eye
zosterops pallidus,Orange River White-eye
zosterops winifredae,South Pare White-eye
zosterops virens,Cape White-eye
zosterops anderssoni,Southern Yellow White-eye
zosterops vaughani,Pemba White-eye
zosterops modestus,Seychelles White-eye
zosterops anjuanensis,Anjouan White-eye
zosterops aldabrensis,Aldabra White-eye
zosterops kirki,Kirk's White-eye
zosterops comorensis,Moheli White-eye
zosterops mayottensis,Mayotte White-eye
zosterops maderaspatanus,Malagasy White-eye
zosterops meratusensis,Meratus White-eye
zosterops chloris,Lemon-bellied White-eye
zosterops flavissimus,Wakatobi White-eye
zosterops atrifrons,Black-crowned White-eye
zosterops nehrkorni,Sangihe White-eye
zosterops consobrinorum,Pale-bellied White-eye
zosterops somadikartai,Togian White-eye
zosterops anomalus,Black-ringed White-eye
zosterops minor,Green-fronted White-eye
zosterops chrysolaemus,Black-fronted White-eye
zosterops meeki,Tagula White-eye
zosterops dehaani,Morotai White-eye
zosterops atriceps,Cream-throated White-eye
zosterops buruensis,Buru White-eye
zosterops stalkeri,Seram White-eye
zosterops flavus,Javan White-eye
zosterops citrinella,Ashy-bellied White-eye
zosterops luteus,Canary White-eye
zosterops lateralis,Silvereye
zosterops auriventer,Hume's White-eye
zosterops melanurus,Sangkar White-eye
zosterops everetti,Everett's White-eye
zosterops vellalavella,Vella Lavella White-eye
zosterops sanctaecrucis,Santa Cruz White-eye
zosterops fuscicapilla,Capped White-eye
zosterops crookshanki,Oya Tabu White-eye
zosterops flavifrons,Vanuatu White-eye
zosterops superciliosus,Bare-eyed White-eye
zosterops lacertosus,Sanford's White-eye
zosterops gibbsi,Vanikoro White-eye
zosterops explorator,Fiji White-eye
zosterops hypoxanthus,Bismarck White-eye
zosterops mysorensis,Biak White-eye
zosterops hamlini,Bougainville White-eye
zosterops oblitus,Guadalcanal White-eye
zosterops rendovae,Grey-throated White-eye
zosterops oleagineus,Olive-colored White-eye
zosterops finschii,Dusky White-eye
zosterops ponapensis,Grey-brown White-eye
zosterops cinereus,Kosrae White-eye
zosterops rotensis,Rota White-eye
zosterops metcalfii,Yellow-throated White-eye
zosterops stresemanni,Malaita White-eye
zosterops novaeguineae,Papuan White-eye
zosterops kuehni,Ambon White-eye
zosterops grayi,Pearl-bellied White-eye
zosterops luteirostris,Gizo White-eye
zosterops uropygialis,Golden-bellied White-eye
zosterops splendidus,Ranongga White-eye
zosterops kulambangrae,Solomons White-eye
zosterops tetiparius,Dark-eyed White-eye
zosterops natalis,Christmas White-eye
zosterops conspicillatus,Bridled White-eye
zosterops semperi,Citrine White-eye
zosterops hypolais,Plain White-eye
zosterops griseotinctus,Louisiade White-eye
zosterops murphyi,Kolombangara White-eye
zosterops inornatus,Large Lifou White-eye
zosterops albogularis,White-chested White-eye
zosterops samoensis,Samoan White-eye
zosterops strenuus,Robust White-eye
zosterops tenuirostris,Slender-billed White-eye
zosterops minutus,Small Lifou White-eye
zosterops xanthochroa,Green-backed White-eye
zosterops rennellianus,Rennell White-eye
timalia pileata,Chestnut-capped Babbler
dumetia hyperythra,Tawny-bellied Babbler
dumetia atriceps,Dark-fronted Babbler
mixornis kelleyi,Grey-faced Tit-Babbler
mixornis flavicollis,Grey-cheeked Tit-Babbler
mixornis prillwitzi,Kangean Tit-Babbler
mixornis gularis,Pin-striped Tit-Babbler
mixornis bornensis,Bold-striped Tit-Babbler
macronus ptilosus,Fluffy-backed Tit-Babbler
macronus striaticeps,Brown Tit-Babbler
cyanoderma chrysaeum,Golden Babbler
cyanoderma erythropterum,Chestnut-winged Babbler
cyanoderma bicolor,Grey-hooded Babbler
cyanoderma melanothorax,Crescent-chested Babbler
cyanoderma rufifrons,Rufous-fronted Babbler
cyanoderma pyrrhops,Black-chinned Babbler
cyanoderma ruficeps,Rufous-capped Babbler
cyanoderma ambiguum,Buff-chested Babbler
spelaeornis caudatus,Rufous-throated Wren-Babbler
spelaeornis badeigularis,Mishmi Wren-Babbler
spelaeornis troglodytoides,Bar-winged Wren-Babbler
spelaeornis kinneari,Pale-throated Wren-Babbler
spelaeornis chocolatinus,Naga Wren-Babbler
spelaeornis oatesi,Chin Hills Wren-Babbler
spelaeornis longicaudatus,Tawny-breasted Wren-Babbler
spelaeornis reptatus,Grey-bellied Wren-Babbler
melanocichla lugubris,Black Laughingthrush
melanocichla calva,Bare-headed Laughingthrush
pomatorhinus ferruginosus,Coral-billed Scimitar Babbler
pomatorhinus ochraceiceps,Red-billed Scimitar Babbler
pomatorhinus superciliaris,Slender-billed Scimitar Babbler
pomatorhinus ruficollis,Streak-breasted Scimitar Babbler
pomatorhinus musicus,Taiwan Scimitar Babbler
pomatorhinus schisticeps,White-browed Scimitar Babbler
pomatorhinus horsfieldii,Indian Scimitar Babbler
pomatorhinus melanurus,Sri Lanka Scimitar Babbler
pomatorhinus bornensis,Sunda Scimitar Babbler
pomatorhinus montanus,Javan Scimitar Babbler
erythrogenys hypoleucos,Large Scimitar Babbler
erythrogenys erythrogenys,Rusty-cheeked Scimitar Babbler
erythrogenys mcclellandi,Spot-breasted Scimitar Babbler
erythrogenys gravivox,Black-streaked Scimitar Babbler
erythrogenys swinhoei,Grey-sided Scimitar Babbler
erythrogenys erythrocnemis,Black-necklaced Scimitar Babbler
stachyris nigricollis,Black-throated Babbler
stachyris grammiceps,White-breasted Babbler
stachyris maculata,Chestnut-rumped Babbler
stachyris nigriceps,Grey-throated Babbler
stachyris poliocephala,Grey-headed Babbler
stachyris nonggangensis,Nonggang Babbler
stachyris herberti,Sooty Babbler
stachyris humei,Sikkim Wedge-billed Babbler
stachyris roberti,Cachar Wedge-billed Babbler
stachyris leucotis,White-necked Babbler
stachyris thoracica,White-bibbed Babbler
stachyris oglei,Snowy-throated Babbler
stachyris strialata,Spot-necked Babbler
graminicola bengalensis,Indian Grassbird
graminicola striatus,Chinese Grassbird
turdinus macrodactylus,Large Wren-Babbler
turdinus marmoratus,Marbled Wren-Babbler
turdinus atrigularis,Black-throated Wren-Babbler
malacopteron affine,Sooty-capped Babbler
malacopteron albogulare,Grey-breasted Babbler
malacopteron cinereum,Scaly-crowned Babbler
malacopteron magnum,Rufous-crowned Babbler
malacopteron magnirostre,Moustached Babbler
malacopteron palawanense,Melodious Babbler
gampsorhynchus rufulus,White-hooded Babbler
gampsorhynchus torquatus,Collared Babbler
schoeniparus cinereus,Yellow-throated Fulvetta
schoeniparus castaneceps,Rufous-winged Fulvetta
schoeniparus klossi,Black-crowned Fulvetta
schoeniparus variegaticeps,Golden-fronted Fulvetta
schoeniparus rufogularis,Rufous-throated Fulvetta
schoeniparus dubius,Rusty-capped Fulvetta
schoeniparus brunneus,Dusky Fulvetta
pellorneum ruficeps,Puff-throated Babbler
pellorneum fuscocapillus,Brown-capped Babbler
pellorneum palustre,Marsh Babbler
pellorneum nigrocapitatum,Malayan Black-capped Babbler
pellorneum capistratum,Javan Black-capped Babbler
pellorneum capistratoides,Bornean Black-capped Babbler
pellorneum malaccense,Short-tailed Babbler
pellorneum cinereiceps,Ashy-headed Babbler
pellorneum albiventre,Spot-throated Babbler
pellorneum tickelli,Buff-breasted Babbler
pellorneum buettikoferi,Sumatran Babbler
pellorneum pyrrogenys,Temminck's Babbler
pellorneum rostratum,White-chested Babbler
pellorneum bicolor,Ferruginous Babbler
pellorneum celebense,Sulawesi Babbler
laticilla burnesii,Rufous-vented Grass Babbler
laticilla cinerascens,Swamp Grass Babbler
illadopsis fulvescens,Brown Illadopsis
illadopsis rufipennis,Pale-breasted Illadopsis
illadopsis distans,Tanzanian Illadopsis
illadopsis pyrrhoptera,Mountain Illadopsis
illadopsis cleaveri,Blackcap Illadopsis
illadopsis albipectus,Scaly-breasted Illadopsis
illadopsis turdina,Spotted Thrush-Babbler
illadopsis puveli,Puvel's Illadopsis
illadopsis rufescens,Rufous-winged Illadopsis
kenopia striata,Striped Wren-Babbler
malacocincla abbotti,Abbott's Babbler
malacocincla sepiaria,Horsfield's Babbler
malacocincla perspicillata,Black-browed Babbler
gypsophila crassa,Mountain Wren-Babbler
gypsophila brevicaudata,Streaked Wren-Babbler
gypsophila annamensis,Annam Limestone Babbler
gypsophila calcicola,Rufous Limestone Babbler
gypsophila crispifrons,Variable Limestone Babbler
gypsophila rufipectus,Rusty-breasted Wren-Babbler
ptilocichla mindanensis,Striated Wren-Babbler
ptilocichla leucogrammica,Bornean Wren-Babbler
ptilocichla falcata,Falcated Wren-Babbler
napothera epilepidota,Eyebrowed Wren-Babbler
napothera malacoptila,Long-billed Wren-Babbler
napothera albostriata,Sumatran Wren-Babbler
napothera pasquieri,White-throated Wren-Babbler
napothera naungmungensis,Naung Mung Scimitar Babbler
napothera danjoui,Short-tailed Scimitar Babbler
alcippe poioicephala,Brown-cheeked Fulvetta
alcippe grotei,Black-browed Fulvetta
alcippe brunneicauda,Brown Fulvetta
alcippe pyrrhoptera,Javan Fulvetta
alcippe nipalensis,Nepal Fulvetta
alcippe davidi,David's Fulvetta
alcippe hueti,Huet's Fulvetta
alcippe morrisonia,Grey-cheeked Fulvetta
alcippe fratercula,Yunnan Fulvetta
alcippe peracensis,Mountain Fulvetta
grammatoptila striata,Striated Laughingthrush
cutia nipalensis,Himalayan Cutia
cutia legalleni,Vietnamese Cutia
laniellus langbianis,Grey-crowned Crocias
laniellus albonotatus,Spotted Crocias
trochalopteron subunicolor,Scaly Laughingthrush
trochalopteron austeni,Brown-capped Laughingthrush
trochalopteron squamatum,Blue-winged Laughingthrush
trochalopteron lineatum,Streaked Laughingthrush
trochalopteron imbricatum,Bhutan Laughingthrush
trochalopteron virgatum,Striped Laughingthrush
trochalopteron variegatum,Variegated Laughingthrush
trochalopteron affine,Black-faced Laughingthrush
trochalopteron morrisonianum,White-whiskered Laughingthrush
trochalopteron henrici,Brown-cheeked Laughingthrush
trochalopteron elliotii,Elliot's Laughingthrush
trochalopteron milnei,Red-tailed Laughingthrush
trochalopteron yersini,Collared Laughingthrush
trochalopteron erythrocephalum,Chestnut-crowned Laughingthrush
trochalopteron chrysopterum,Assam Laughingthrush
trochalopteron formosum,Red-winged Laughingthrush
trochalopteron melanostigma,Silver-eared Laughingthrush
trochalopteron ngoclinhense,Golden-winged Laughingthrush
trochalopteron peninsulae,Malayan Laughingthrush
montecincla jerdoni,Banasura Laughingthrush
montecincla cachinnans,Nilgiri Laughingthrush
montecincla fairbanki,Palani Laughingthrush
montecincla meridionalis,Ashambu Laughingthrush
heterophasia picaoides,Long-tailed Sibia
heterophasia auricularis,White-eared Sibia
heterophasia capistrata,Rufous Sibia
heterophasia pulchella,Beautiful Sibia
heterophasia gracilis,Grey Sibia
heterophasia melanoleuca,Dark-backed Sibia
heterophasia desgodinsi,Black-headed Sibia
actinodura nipalensis,Hoary-throated Barwing
actinodura morrisoniana,Taiwan Barwing
actinodura waldeni,Streak-throated Barwing
actinodura souliei,Streaked Barwing
actinodura cyanouroptera,Blue-winged Minla
actinodura strigula,Bar-throated Minla
actinodura egertoni,Rusty-fronted Barwing
actinodura ramsayi,Spectacled Barwing
actinodura sodangorum,Black-crowned Barwing
leiothrix lutea,Red-billed Leiothrix
leiothrix argentauris,Silver-eared Mesia
minla ignotincta,Red-tailed Minla
leioptila annectens,Rufous-backed Sibia
liocichla bugunorum,Bugun Liocichla
liocichla omeiensis,Emei Shan Liocichla
liocichla steerii,Steere's Liocichla
liocichla phoenicea,Red-faced Liocichla
liocichla ripponi,Scarlet-faced Liocichla
argya malcolmi,Large Grey Babbler
argya cinereifrons,Ashy-headed Laughingthrush
argya longirostris,Slender-billed Babbler
argya subrufa,Rufous Babbler
argya rufescens,Orange-billed Babbler
argya striata,Jungle Babbler
argya affinis,Yellow-billed Babbler
argya rubiginosa,Rufous Chatterer
argya aylmeri,Scaly Chatterer
argya altirostris,Iraq Babbler
argya huttoni,Afghan Babbler
argya caudata,Common Babbler
argya fulva,Fulvous Babbler
argya squamiceps,Arabian Babbler
argya earlei,Striated Babbler
argya gularis,White-throated Babbler
turdoides nipalensis,Spiny Babbler
turdoides atripennis,Capuchin Babbler
turdoides gilberti,White-throated Mountain Babbler
turdoides chapini,Chapin's Babbler
turdoides rufocinctus,Red-collared Babbler
turdoides plebejus,Brown Babbler
turdoides leucopygia,White-rumped Babbler
turdoides hindei,Hinde's Babbler
turdoides squamulata,Scaly Babbler
turdoides jardineii,Arrow-marked Babbler
turdoides gymnogenys,Bare-cheeked Babbler
turdoides leucocephala,White-headed Babbler
turdoides reinwardtii,Blackcap Babbler
turdoides tenebrosa,Dusky Babbler
turdoides bicolor,Southern Pied Babbler
turdoides hartlaubii,Hartlaub's Babbler
turdoides sharpei,Black-lored Babbler
turdoides melanops,Black-faced Babbler
turdoides hypoleuca,Northern Pied Babbler
garrulax merulinus,Spot-breasted Laughingthrush
garrulax annamensis,Orange-breasted Laughingthrush
garrulax canorus,Chinese Hwamei
garrulax taewanus,Taiwan Hwamei
garrulax monileger,Lesser Necklaced Laughingthrush
garrulax rufifrons,Rufous-fronted Laughingthrush
garrulax palliatus,Sunda Laughingthrush
garrulax leucolophus,White-crested Laughingthrush
garrulax bicolor,Sumatran Laughingthrush
garrulax milleti,Black-hooded Laughingthrush
garrulax strepitans,White-necked Laughingthrush
garrulax ferrarius,Cambodian Laughingthrush
garrulax maesi,Grey Laughingthrush
garrulax castanotis,Rufous-cheeked Laughingthrush
ianthocincla sukatschewi,Snowy-cheeked Laughingthrush
ianthocincla rufogularis,Rufous-chinned Laughingthrush
ianthocincla konkakinhensis,Chestnut-eared Laughingthrush
ianthocincla cineracea,Moustached Laughingthrush
ianthocincla ocellata,Spotted Laughingthrush
ianthocincla maxima,Giant Laughingthrush
ianthocincla bieti,White-speckled Laughingthrush
ianthocincla lunulata,Barred Laughingthrush
pterorhinus delesserti,Wayanad Laughingthrush
pterorhinus gularis,Rufous-vented Laughingthrush
pterorhinus vassali,White-cheeked Laughingthrush
pterorhinus galbanus,Yellow-throated Laughingthrush
pterorhinus courtoisi,Blue-crowned Laughingthrush
pterorhinus mitratus,Chestnut-capped Laughingthrush
pterorhinus treacheri,Chestnut-hooded Laughingthrush
pterorhinus ruficollis,Rufous-necked Laughingthrush
pterorhinus nuchalis,Chestnut-backed Laughingthrush
pterorhinus chinensis,Black-throated Laughingthrush
pterorhinus sannio,White-browed Laughingthrush
pterorhinus perspicillatus,Masked Laughingthrush
pterorhinus pectoralis,Greater Necklaced Laughingthrush
pterorhinus davidi,Plain Laughingthrush
pterorhinus woodi,Mount Victoria Babax
pterorhinus lanceolatus,Chinese Babax
pterorhinus waddelli,Giant Babax
pterorhinus koslowi,Tibetan Babax
pterorhinus albogularis,White-throated Laughingthrush
pterorhinus ruficeps,Rufous-crowned Laughingthrush
pterorhinus caerulatus,Grey-sided Laughingthrush
pterorhinus berthemyi,Buffy Laughingthrush
pterorhinus poecilorhynchus,Rusty Laughingthrush
modulatrix stictigula,Spot-throat
arcanator orostruthus,Dapple-throat
kakamega poliothorax,Grey-chested Babbler
promerops cafer,Cape Sugarbird
promerops gurneyi,Gurney's Sugarbird
irena puella,Asian Fairy-bluebird
irena tweeddalii,Palawan Fairy-bluebird
irena cyanogastra,Philippine Fairy-bluebird
corthylio calendula,Ruby-crowned Kinglet
regulus ignicapilla,Common Firecrest
regulus madeirensis,Madeira Firecrest
regulus satrapa,Golden-crowned Kinglet
regulus goodfellowi,Flamecrest
regulus regulus,Goldcrest
elachura formosa,Spotted Elachura
hyliota flavigaster,Yellow-bellied Hyliota
hyliota australis,Southern Hyliota
hyliota usambara,Usambara Hyliota
hyliota violacea,Violet-backed Hyliota
campylorhynchus albobrunneus,White-headed Wren
campylorhynchus zonatus,Band-backed Wren
campylorhynchus megalopterus,Grey-barred Wren
campylorhynchus nuchalis,Stripe-backed Wren
campylorhynchus fasciatus,Fasciated Wren
campylorhynchus chiapensis,Giant Wren
campylorhynchus griseus,Bicolored Wren
campylorhynchus rufinucha,Veracruz Wren
campylorhynchus humilis,Sclater's Wren
campylorhynchus capistratus,Rufous-backed Wren
campylorhynchus gularis,Spotted Wren
campylorhynchus jocosus,Boucard's Wren
campylorhynchus yucatanicus,Yucatan Wren
campylorhynchus brunneicapillus,Cactus Wren
campylorhynchus turdinus,Thrush-like Wren
odontorchilus branickii,Grey-mantled Wren
odontorchilus cinereus,Tooth-billed Wren
salpinctes obsoletus,Rock Wren
catherpes mexicanus,Canyon Wren
hylorchilus sumichrasti,Sumichrast's Wren
hylorchilus navai,Nava's Wren
cinnycerthia unirufa,Rufous Wren
cinnycerthia olivascens,Sepia-brown Wren
cinnycerthia peruana,Peruvian Wren
cinnycerthia fulva,Fulvous Wren
cistothorus stellaris,Sedge Wren
cistothorus meridae,Merida Wren
cistothorus apolinari,Apolinar's Wren
cistothorus platensis,Grass Wren
cistothorus palustris,Marsh Wren
thryomanes bewickii,Bewick's Wren
ferminia cerverai,Zapata Wren
pheugopedius atrogularis,Black-throated Wren
pheugopedius spadix,Sooty-headed Wren
pheugopedius fasciatoventris,Black-bellied Wren
pheugopedius euophrys,Plain-tailed Wren
pheugopedius eisenmanni,Inca Wren
pheugopedius genibarbis,Moustached Wren
pheugopedius mystacalis,Whiskered Wren
pheugopedius coraya,Coraya Wren
pheugopedius felix,Happy Wren
pheugopedius maculipectus,Spot-breasted Wren
pheugopedius rutilus,Rufous-breasted Wren
pheugopedius sclateri,Speckle-breasted Wren
thryophilus pleurostictus,Banded Wren
thryophilus rufalbus,Rufous-and-white Wren
thryophilus sernai,Antioquia Wren
thryophilus nicefori,Niceforo's Wren
thryophilus sinaloa,Sinaloa Wren
cantorchilus modestus,Cabanis's Wren
cantorchilus zeledoni,Canebrake Wren
cantorchilus elutus,Isthmian Wren
cantorchilus leucotis,Buff-breasted Wren
cantorchilus superciliaris,Superciliated Wren
cantorchilus guarayanus,Fawn-breasted Wren
cantorchilus longirostris,Long-billed Wren
cantorchilus griseus,Grey Wren
cantorchilus semibadius,Riverside Wren
cantorchilus nigricapillus,Bay Wren
cantorchilus thoracicus,Stripe-breasted Wren
cantorchilus leucopogon,Stripe-throated Wren
thryothorus ludovicianus,Carolina Wren
troglodytes troglodytes,Eurasian Wren
troglodytes hiemalis,Winter Wren
troglodytes pacificus,Pacific Wren
troglodytes tanneri,Clarion Wren
troglodytes aedon,House Wren
troglodytes cobbi,Cobb's Wren
troglodytes sissonii,Socorro Wren
troglodytes rufociliatus,Rufous-browed Wren
troglodytes ochraceus,Ochraceous Wren
troglodytes solstitialis,Mountain Wren
troglodytes monticola,Santa Marta Wren
troglodytes rufulus,Tepui Wren
thryorchilus browni,Timberline Wren
uropsila leucogastra,White-bellied Wren
henicorhina leucosticta,White-breasted Wood Wren
henicorhina leucophrys,Grey-breasted Wood Wren
henicorhina anachoreta,Hermit Wood Wren
henicorhina leucoptera,Bar-winged Wood Wren
henicorhina negreti,Munchique Wood Wren
microcerculus philomela,Northern Nightingale-Wren
microcerculus marginatus,Southern Nightingale-Wren
microcerculus ustulatus,Flutist Wren
microcerculus bambla,Wing-banded Wren
cyphorhinus thoracicus,Chestnut-breasted Wren
cyphorhinus arada,Musician Wren
cyphorhinus phaeocephalus,Song Wren
ramphocaenus sticturus,Chattering Gnatwren
ramphocaenus melanurus,Trilling Gnatwren
microbates cinereiventris,Tawny-faced Gnatwren
microbates collaris,Collared Gnatwren
polioptila facilis,Rio Negro Gnatcatcher
polioptila guianensis,Guianan Gnatcatcher
polioptila schistaceigula,Slate-throated Gnatcatcher
polioptila paraensis,Para Gnatcatcher
polioptila clementsi,Iquitos Gnatcatcher
polioptila attenboroughi,Inambari Gnatcatcher
polioptila plumbea,Tropical Gnatcatcher
polioptila lactea,Creamy-bellied Gnatcatcher
polioptila dumicola,Masked Gnatcatcher
